SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G28,2024-05-06 18:25:25.417843+00:00,-7107186.280333717,13602553.750253355,21664667.62887404,22328026.848531816,45.2,4582611.692961269,2897917.812059713,3148323.299167981,30.311981781451617,32.30813675733103,-102939.67172081489
G31,2024-05-06 18:25:25.417843+00:00,2843259.4257371575,19088762.970234584,17859811.45289987,19855324.057287227,44.9,4582611.692961269,2897917.812059713,3148323.299167981,30.311981781451617,32.30813675733103,-102939.67172081489
G02,2024-05-06 18:25:26.417843+00:00,22724291.491685446,13967221.03152201,1973943.4877655287,19085621.44935001,46.8,4582619.608629933,2897906.7252826816,3148299.3205820834,30.31178843622458,32.307993031235,-102951.11375626363
G03,2024-05-06 18:25:26.417843+00:00,12836648.858214311,9037366.455293756,21294041.94224426,18959468.272559877,39.4,4582619.608629933,2897906.7252826816,3148299.3205820834,30.31178843622458,32.307993031235,-102951.11375626363
G04,2024-05-06 18:25:26.417843+00:00,21690455.019964643,3635300.715913305,15006066.022167848,19111127.772975303,37.0,4582619.608629933,2897906.7252826816,3148299.3205820834,30.31178843622458,32.307993031235,-102951.11375626363
G06,2024-05-06 18:25:26.417843+00:00,4826855.144337301,-14576655.604300678,21716133.802177824,23360902.28101655,46.1,4582619.608629933,2897906.7252826816,3148299.3205820834,30.31178843622458,32.307993031235,-102951.11375626363
G09,2024-05-06 18:25:26.417843+00:00,25255992.27656459,-7258739.693959584,3973358.330041003,20817577.691989332,47.1,4582619.608629933,2897906.7252826816,3148299.3205820834,30.31178843622458,32.307993031235,-102951.11375626363
G16,2024-05-06 18:25:26.417843+00:00,1679859.5199648887,24096714.04134746,-10849034.518069848,23805886.047789715,33.2,4582619.608629933,2897906.7252826816,3148299.3205820834,30.31178843622458,32.307993031235,-102951.11375626363
G17,2024-05-06 18:25:26.417843+00:00,21171186.50580554,-13390008.552679513,9482836.43144505,22480149.834948685,45.3,4582619.608629933,2897906.7252826816,3148299.3205820834,30.31178843622458,32.307993031235,-102951.11375626363
G19,2024-05-06 18:25:26.417843+00:00,13840285.574800475,-15265680.399256136,16355746.733858151,22107240.133674227,47.0,4582619.608629933,2897906.7252826816,3148299.3205820834,30.31178843622458,32.307993031235,-102951.11375626363
G21,2024-05-06 18:25:26.417843+00:00,20941965.469400074,16836186.241028644,-3157773.135602065,20224944.524739176,46.7,4582619.608629933,2897906.7252826816,3148299.3205820834,30.31178843622458,32.307993031235,-102951.11375626363
