SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G21,2024-04-13 16:52:29.418698+00:00,15722054.687229667,1675765.4404700692,21892132.16094291,21729541.33485816,39.3,4436887.131227815,3085277.678561918,3376313.94794644,32.16878446751679,34.81358818147545,46.749539440497756
G27,2024-04-13 16:52:29.418698+00:00,23130987.28770797,13297516.061587442,-2758795.4756012703,22167412.897000186,43.5,4436887.131227815,3085277.678561918,3376313.94794644,32.16878446751679,34.81358818147545,46.749539440497756
G28,2024-04-13 16:52:29.418698+00:00,5188255.700621713,25785687.863352753,-3719684.4337085974,23795407.524180975,29.6,4436887.131227815,3085277.678561918,3376313.94794644,32.16878446751679,34.81358818147545,46.749539440497756
G32,2024-04-13 16:52:29.418698+00:00,7983534.786153723,17919551.985909,18207781.73473421,21274453.572942305,39.2,4436887.131227815,3085277.678561918,3376313.94794644,32.16878446751679,34.81358818147545,46.749539440497756
G02,2024-04-13 16:52:30.418698+00:00,14596689.880261444,-5096455.105594215,22060061.20403247,22786808.859790992,37.7,4436907.386660724,3085275.4277241863,3376344.6809656653,32.168945391943325,34.813445985973146,76.101566510275
G03,2024-04-13 16:52:30.418698+00:00,23169781.807992168,-12097118.892826293,4182767.3357339795,24126155.717728063,28.9,4436907.386660724,3085275.4277241863,3376344.6809656653,32.168945391943325,34.813445985973146,76.101566510275
G08,2024-04-13 16:52:30.418698+00:00,24954131.4173367,4730536.718849025,8372312.7522687195,21180620.78249763,36.4,4436907.386660724,3085275.4277241863,3376344.6809656653,32.168945391943325,34.813445985973146,76.101566510275
G10,2024-04-13 16:52:30.418698+00:00,-1446001.9416568512,17219826.519164845,20281383.18436909,22807229.98192261,39.1,4436907.386660724,3085275.4277241863,3376344.6809656653,32.168945391943325,34.813445985973146,76.101566510275
G21,2024-04-13 16:52:30.418698+00:00,15722480.323413152,1678393.3184863157,21891713.932773247,21729219.377863713,39.9,4436907.386660724,3085275.4277241863,3376344.6809656653,32.168945391943325,34.813445985973146,76.101566510275
G27,2024-04-13 16:52:30.418698+00:00,23130604.297426052,13297593.356954068,-2761921.612874596,22167990.324023545,38.7,4436907.386660724,3085275.4277241863,3376344.6809656653,32.168945391943325,34.813445985973146,76.101566510275
